severity,category,trail_id,trail_name,region,nearest_town,details
high,contact_email_region_mismatch,124,"Екопътека ""Опасният зъб""",Ловеч,Тетевен,"contact email suggests Plovdiv, but record region is 'Ловеч'"
high,contact_email_region_mismatch,125,"Екопътека ""По стъпките на балканджиите"" – Априлци",Ловеч,Априлци,"contact email suggests Plovdiv, but record region is 'Ловеч'"
high,contact_email_region_mismatch,126,"Екопътека ""Под пръските на водопада""",Ловеч,Тетевен,"contact email suggests Plovdiv, but record region is 'Ловеч'"
high,contact_email_region_mismatch,127,"Екопътека ""През очите на времето - история и природа""",Ловеч,Крушуна,"contact email suggests Plovdiv, but record region is 'Ловеч'"
high,contact_email_region_mismatch,128,"Екопътека ""Станина дупка""",Ловеч,Тетевен,"contact email suggests Plovdiv, but record region is 'Ловеч'"
high,contact_email_region_mismatch,129,Екопътека – Ведерник,Ловеч,Ведерник,"contact email suggests Plovdiv, but record region is 'Ловеч'"
high,contact_email_region_mismatch,130,Крушунска екопътека,Ловеч,Крушуна,"contact email suggests Plovdiv, but record region is 'Ловеч'"
high,contact_email_region_mismatch,131,Местност за отдих Мийковци,Ловеч,Мийковци,"contact email suggests Plovdiv, but record region is 'Ловеч'"
high,contact_email_region_mismatch,132,Местност за пикник с. Малко Чочовени,Ловеч,Малко Чочовени,"contact email suggests Plovdiv, but record region is 'Ловеч'"
high,contact_email_region_mismatch,133,Геопътека Задънен дол,Ловешка област,Луковит,"contact email suggests Plovdiv, but record region is 'Ловешка област'"
high,contact_email_region_mismatch,134,Екопътека Искър-Панега,Луковит,Луковит,"contact email suggests Plovdiv, but record region is 'Луковит'"
high,contact_email_region_mismatch,135,"Екопътека ""Белите скали"" – Лютиброд",Лютиброд,Лютиброд,"contact email suggests Plovdiv, but record region is 'Лютиброд'"
high,contact_email_region_mismatch,137,"Екопътека ""Хайдушки водопади""",Монтана,Берковица,"contact email suggests Plovdiv, but record region is 'Монтана'"
high,contact_email_region_mismatch,138,"Водопад ""Бабско пръскало""","Национален парк ""Централен Балкан""",Калофер,"contact email suggests Plovdiv, but record region is 'Национален парк ""Централен Балкан""'"
high,contact_email_region_mismatch,139,"Екопътека ""Калето"" - Обзор",Обзор,Обзор,"contact email suggests Plovdiv, but record region is 'Обзор'"
high,contact_email_region_mismatch,140,Геокомплекс Зарапово,Област Велико Търново,Павликени,"contact email suggests Plovdiv, but record region is 'Област Велико Търново'"
high,contact_email_region_mismatch,141,"Екопътека ""Беглика""",Пазарджишка област,,"contact email suggests Plovdiv, but record region is 'Пазарджишка област'"
high,contact_email_region_mismatch,145,Православен мемориален кръст „Памет и вяра”,Пирин,Благоевград,"contact email suggests Plovdiv, but record region is 'Пирин'"
high,contact_email_region_mismatch,146,"Пътека за крепост ""Беаднос""",Пирин,Беден,"contact email suggests Plovdiv, but record region is 'Пирин'"
high,contact_email_region_mismatch,147,Високопланинска обиколна пътека (ВОП),Планина Витоша,София,"contact email suggests Plovdiv, but record region is 'Планина Витоша'"
high,contact_email_region_mismatch,148,"Екопътека ""Никопол Римски път - Скална църква""",Плевен,Никопол,"contact email suggests Plovdiv, but record region is 'Плевен'"
high,contact_email_region_mismatch,149,"Екопътека ""Попската скала""",Плевен,Плевен,"contact email suggests Plovdiv, but record region is 'Плевен'"
high,contact_email_region_mismatch,150,"Екопътека ""Черне3лка""",Плевен,Горталово,"contact email suggests Plovdiv, but record region is 'Плевен'"
high,contact_email_region_mismatch,151,"""Зелената пътека"" - Бачковски манастир",Пловдив,Бачковски манастир,"contact email suggests Plovdiv, but record region is 'Пловдив'"
high,contact_email_region_mismatch,218,"Екопътека ""Комин дере"" – Лъки",Пловдив,Лъки,"contact email suggests Plovdiv, but record region is 'Пловдив'"
high,contact_email_region_mismatch,219,"Екопътека ""Манастира""",Пловдив,Перущица,"contact email suggests Plovdiv, but record region is 'Пловдив'"
high,contact_email_region_mismatch,220,"Екопътека ""По пътя на героите""",Пловдив,Перущица,"contact email suggests Plovdiv, but record region is 'Пловдив'"
high,contact_email_region_mismatch,221,"Екопътека ""Равнища""",Пловдив,Равнища,"contact email suggests Plovdiv, but record region is 'Пловдив'"
high,contact_email_region_mismatch,222,"Екопътека ""Стара Река"" – Стеврек",Пловдив,Стеврек,"contact email suggests Plovdiv, but record region is 'Пловдив'"
high,contact_email_region_mismatch,223,"Екопътека ""Стражка могила""",Пловдив,Страж,"contact email suggests Plovdiv, but record region is 'Пловдив'"
high,contact_email_region_mismatch,224,"Екопътека ""с. Белица-Пещерата""",Благоевград,Белица,"contact email suggests Plovdiv, but record region is 'Благоевград'"
high,contact_email_region_mismatch,225,"Екопътека ""с.Белица - Кръстова гора""",Благоевград,Белица,"contact email suggests Plovdiv, but record region is 'Благоевград'"
high,contact_email_region_mismatch,407,Екопътека Бяла река (Калоферска),Пловдивска област,Калофер,"contact email suggests Plovdiv, but record region is 'Пловдивска област'"
