severity,category,trail_id,trail_name,region,nearest_town,details
high,name_not_reflected_in_content,458,"Екопътека ""Каньона на водопадите"" - Смолян",Смолян,Смолян,"none of the core name tokens appear in description/summary: каньона, водопадите, смолян"
high,name_not_reflected_in_content,470,"Южнородопска или ""Дяволска"" екопътека",Смолян,Борино,"none of the core name tokens appear in description/summary: южнородопска, дяволска"
high,name_not_reflected_in_content,480,"Екопътека ""Тракийски могили""",Софийска,Копривщица,"none of the core name tokens appear in description/summary: тракииски, могили"
high,name_not_reflected_in_content,499,Спортно-информационна алея за хора с увреждания на опорно-двигателния апарат,София,София,"none of the core name tokens appear in description/summary: увреждания, опорно, двигателния, апарат"
high,name_not_reflected_in_content,501,"Екопътека ""Пъ3тека на здравето""",София-град,Банкя,none of the core name tokens appear in description/summary: пъ3тека
high,name_not_reflected_in_content,509,Странджанска горска пътека,Странджа,Стоилово,"none of the core name tokens appear in description/summary: странджанска, горска"
high,name_not_reflected_in_content,512,"Екопътека ""Горската пътека""",Тетевен,Тетевен,none of the core name tokens appear in description/summary: горската
high,name_not_reflected_in_content,514,Трънска екопътека,Трън,Трън,none of the core name tokens appear in description/summary: трънска
high,name_not_reflected_in_content,518,"Екопътека ""Тайните водопади""",Хасково,Малко Градище,"none of the core name tokens appear in description/summary: таините, водопади"
high,placeholder_source,182,Божевски водопад,Пловдив,,source uses placeholder value
high,placeholder_source,266,Кървавата скала,Пловдив,,source uses placeholder value
high,placeholder_source,281,Меаните,Пловдив,,source uses placeholder value
high,placeholder_source,284,Мечи стъпки,Пловдив,,source uses placeholder value
high,placeholder_source,290,Обесен камък,Пловдив,,source uses placeholder value
high,placeholder_source,291,Окопна манастир,Пловдив,,source uses placeholder value
high,placeholder_source,308,Пътека,Пловдив,,source uses placeholder value
high,synthetic_without_sources,3,"Екопътека ""Збегове"" – Белоградчик",Видин,Белоградчик,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,4,"Екопътека Заслон ""Опасен зъб"" – Тетевен",Ловеч,Тетевен,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,5,"Екопътека до ""Първия войнишки паметник"" - с. Алдомировци",Алдомировци,Алдомировци,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,8,Местност Бялата чешма – Самуилово,Беласица,Самуилово,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,9,Хайдушки водопади (екопътека),Берковица,Берковица,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,17,"Екопътека ""Властелинът на планините""",Благоевград,Белица,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,18,"Екопътека ""Влахи""",Благоевград,Влахи,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,19,"Екопътека ""Кръстът"" – Благоевград",Благоевград,Благоевград,ai_enriched is true but metadata.sources_urls is missing
high,synthetic_without_sources,21,"Екопътека ""Пътеката на дивата коза""",Благоевград,"Баня, Добърско",ai_enriched is true but metadata.sources_urls is missing
