priority_tier,importance_score,id,name,nearest_town,current_region,latitude,longitude,source_status,metadata_source_count,photo_present,attractions_count,duration,max_altitude_m,review_basis,next_action
P2,55,232,Златолист,,Пловдив,41.5228,23.3934,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,233,Ивановски скални църкви,,Пловдив,43.69359,25.98664,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,234,Изворите на Младежка,,Пловдив,42.1492,27.3592,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,235,Изворите на река Въча,,Пловдив,41.5592,24.3147,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,236,Индипаска,,Пловдив,41.97962,27.64319,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,237,Искър-Панега,,Пловдив,43.19313,24.16231,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,238,Кадемлийско пръскало,,Пловдив,42.787835,24.991089,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,239,Казанджи дере,,Пловдив,41.626735,24.49455,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,240,Калиакра,,Пловдив,43.37034,28.46328,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,241,Каменни гъби,,Пловдив,41.78253,25.42851,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,242,Камчийски пясъци,,Пловдив,43.034839,27.887561,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,243,Камчия,,Пловдив,43.0305,27.8864,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,244,Каньона на водопадите,,Пловдив,41.57941,24.66442,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
